Chapter,Part,ID,Type,Prompt,Name/Problem,Description/Solution
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,0a83e26d-cd39-49f5-b24c-02348dfa429f,PROBLEM,,|-1000|,http://3.bp.blogspot.com/-iEEfzzLyHDQ/UJHwSuS23II/AAAAAAAACdA/QL3RhCAHIQE/s1600/ex01-01009.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,0632eea2-7662-439e-8e81-6e3a1d38be47,PROBLEM,,|-15|,http://2.bp.blogspot.com/-lbJiEpu6EW4/UJHwXfzogEI/AAAAAAAACdI/_Jla8rJfgko/s1600/ex01-01007.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,b8e26782-0e93-44e0-a2e0-2ee330fa40e1,PROBLEM,,|100|,http://2.bp.blogspot.com/-JV0RIC5RKOc/UJHwb_-xwgI/AAAAAAAACdQ/DTPhxtZY9TM/s1600/ex01-01008.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,b39b352d-18ab-4b03-879b-0e879fb56306,PROBLEM,,|?| = 5,http://1.bp.blogspot.com/-SEn8kpTObKw/UJHwkp7ZA-I/AAAAAAAACdY/ptCQTVo_5Rk/s1600/ex01-01010.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,bda5e076-ea50-48da-966f-6ac4c96ac08e,PROBLEM,,3 * |?| = 12,http://1.bp.blogspot.com/-hJdopfU-Cik/UJHwo6hiPHI/AAAAAAAACdg/aCzATR3xP4g/s1600/ex01-01011.PNG
1 - Real Numbers and Their Operations,1.1 Real Numbers and The Number Line,c5a2ada8-d29e-4ffd-b3e9-f924e2325bcd,PROBLEM,,|?| = -3,http://3.bp.blogspot.com/-mbWYAHT3570/UJHwtSX9qQI/AAAAAAAACdo/b7s7opET3qg/s1600/ex01-01012.PNG
1 - Real Numbers and Their Operations,1.2 Adding and Subtracting Integers,cfb3e03e-e6b2-4951-8450-4bfdefbe2292,LESSON,,subtracting real numbers,"When first learning how to subtract real numbers, it is useful to think of this operation as adding opposite numbers.

http://2.bp.blogspot.com/-P7_Qp9AjjtU/UJH199BHXnI/AAAAAAAACeI/9eJLk1klSjA/s1600/ex01-0101.PNG

Two sequential negative signs, as seen above, is equivalent to addition. When adding two negative numbers the result will be negative."
1 - Real Numbers and Their Operations,1.2 Adding and Subtracting Integers,f9ef9645-6bac-4428-8e52-755f0853071f,RULE,,Two sequential negative signs is equivalent to _.,addition
1 - Real Numbers and Their Operations,1.2 Adding and Subtracting Integers,7aaead3b-e5d9-43f8-b6a8-aa46b126908a,PROBLEM,Add and Subtract.,-4 - 5 + (-3),http://1.bp.blogspot.com/-AIbKJv8Q7jQ/UJH2E6843eI/AAAAAAAACeQ/c0WNA_fd_bQ/s1600/ex01-0104.PNG
1 - Real Numbers and Their Operations,1.2 Adding and Subtracting Integers,9aa3241d-585c-4390-a12c-5de896aa0f3d,PROBLEM,Add and Subtract.,-3 - 9 + 5,http://1.bp.blogspot.com/-FfdDwMr-V3g/UJH2Im_w_-I/AAAAAAAACeY/9_LQi3tNMgE/s1600/ex01-0103.PNG
1 - Real Numbers and Their Operations,1.2 Adding and Subtracting Integers,7c35a227-5ebf-40d7-9959-c7734de31507,PROBLEM,Add and Subtract.,7 + 12 - 5,http://1.bp.blogspot.com/-x_cw-OnVwuY/UJH2Me_f1wI/AAAAAAAACeg/PK-ZA0Ba4Vc/s1600/ex01-0102.PNG
1 - Real Numbers and Their Operations,1.2 Adding and Subtracting Integers,75225c10-3e97-467e-a5d7-7fc7b25b45b1,PROBLEM,Add and Subtract.,4 - (-12) + (-8),http://1.bp.blogspot.com/-Qi_FLJyHxP0/UJH2cg4J_tI/AAAAAAAACew/24ItfvvBXnQ/s1600/ex01-0106.PNG
1 - Real Numbers and Their Operations,1.2 Adding and Subtracting Integers,15a5bc79-3637-4714-bd05-48ae44aa29fa,PROBLEM,Add and Subtract.,20 - (-17) + (-10) - 6,http://2.bp.blogspot.com/-EzTzFdHV2d4/UJH2YsS_oYI/AAAAAAAACeo/yL_n1o4Zx40/s1600/ex01-0107.PNG
1 - Real Numbers and Their Operations,1.2 Adding and Subtracting Integers,49191cd2-82cc-4c3f-9ad7-c66a6ab0cc26,PROBLEM,Add and Subtract.,-2 + (-7) - 4,http://4.bp.blogspot.com/-3U3SSTwf2BM/UJH2isikUkI/AAAAAAAACe4/gAH7OkmwMcM/s1600/ex01-0105.PNG
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,c5e4bdc6-b56c-430b-a5f4-cdfaafe38013,RULE,,Multiplying (or dividing) a negative number by a positive number will result in a _ number.,"negative

(Negative) x (Positive) = (Negative) "
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,0eed50bf-ab77-4f56-824c-57bad1b79642,RULE,,Multiplying (or dividing) two negative numbers the result will be _.,"positive

(Negative) x (Negative) = (Positive) "
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,c669cd79-cf2b-46fd-b1bd-4d73ffd36241,PROBLEM,Multiply or Divide.,0(-100),http://1.bp.blogspot.com/-a6vXM94IeQs/UJKX18seGzI/AAAAAAAACfc/Ttgq8Ds_uWE/s1600/ex01-0203.PNG
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,033cc014-6c3c-4611-b7c0-3a65fdb5d48b,PROBLEM,Multiply or Divide.,-5 * 12,http://2.bp.blogspot.com/-2L2kAHUbcrQ/UJKX6KtGvvI/AAAAAAAACfk/WUwAVpluZC8/s1600/ex01-0202.PNG
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,bf99c352-5b82-43fa-b261-25d0577d8ec4,PROBLEM,Multiply or Divide.,-2(-10),http://2.bp.blogspot.com/-hIulO_qrZ6E/UJKX-dqMeMI/AAAAAAAACfs/JtXSkPaL0xg/s1600/ex01-0201.PNG
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,39f4178f-b725-4e49-9e7e-40cf83f933fb,PROBLEM,Multiply or Divide.,5 * 2(-3)(-5),http://4.bp.blogspot.com/-Q2yk3komulc/UJKYEi8koRI/AAAAAAAACf0/LoKaGCdZhrk/s1600/ex01-0204.PNG
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,6f0989d5-d1c7-4328-b7d8-634859c8c1c0,PROBLEM,Multiply or Divide.,(-1)(-1)(-1)(-1),http://4.bp.blogspot.com/-AbtlHlYlweg/UJKYInrBliI/AAAAAAAACf8/FRwCkjl1ALw/s1600/ex01-0205.PNG
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,48f6331a-dfa2-40e0-819f-fd5e2b913847,PROBLEM,Multiply or Divide.,54 ÷ (-2),http://4.bp.blogspot.com/-oV9H4E6LjFE/UJKYSUMoIXI/AAAAAAAACgM/bx12PGZNkvg/s1600/ex01-0207.PNG
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,ab0074a5-3525-4154-ab30-858269e3149a,PROBLEM,Multiply or Divide.,-100 ÷ (-25),http://1.bp.blogspot.com/-sos3Ufy6SLk/UJKYXaisG3I/AAAAAAAACgU/WOkWSxA_rq4/s1600/ex01-0208.PNG
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,b450b8d3-1e3b-497c-af45-09215fb9736a,RULE,,Dividing by zero is _.,undefined
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,e2b1ea4f-3e4d-467d-8a77-0b9cc7e165e4,RULE,,Zero and Division,"http://3.bp.blogspot.com/-o90Ih6Sbjno/UJKY-ZyKqOI/AAAAAAAACgc/7_zVC96WgjA/s1600/graphic01-0201.PNG
http://4.bp.blogspot.com/-p2HhUJEFQic/UJKZDGYV3YI/AAAAAAAACgk/frtbzGYi34k/s1600/graphic01-0202.PNG"
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,02003f19-7d4e-4d07-8fb4-618d71bdd915,PROBLEM,Divide.,0 ÷ (-15),http://1.bp.blogspot.com/-OXqvGgXHSdI/UJKZPfcHIrI/AAAAAAAACgs/Kbnlx29G_Mo/s1600/ex01-0210.PNG
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,b53c6edd-3e77-47b9-bb81-bf2f74dafaa0,PROBLEM,Divide.,4 ÷ 0,http://2.bp.blogspot.com/-C2By7eAt3ZI/UJKZT2Fb5yI/AAAAAAAACg0/2T8mG10dptg/s1600/ex01-0211.PNG
1 - Real Numbers and Their Operations,1.3 Multiplying and Dividing Integers,a06e7786-09c4-4745-a603-aacc4692be87,PROBLEM,Divide.,0 ÷ 0,http://2.bp.blogspot.com/-xKlwcTfK7Dg/UJKZXw1BoyI/AAAAAAAACg8/y8EQ5PUOBkA/s1600/ex01-0212.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,b455b225-a9b7-44b0-a001-0b6ac378419f,DEFINITION,,fraction,"(or ""rational number""); a real number that can be written as a quotient, or ratio, of two integers

http://3.bp.blogspot.com/-L3X4ErmHT9I/UJKfxQK7xVI/AAAAAAAAChg/wmenG3NubnU/s1600/ex01-0401.PNG"
1 - Real Numbers and Their Operations,1.4 Fractions,3b798e46-1a3b-4198-9751-968a8f61aadc,LESSON,,reduce fractions to lowest terms (cancel common factors),"Fractions in lowest terms have no common factors in the numerator and denominator other than 1.

http://4.bp.blogspot.com/-YK_3Z73pzPM/UJKf7k5iljI/AAAAAAAAChw/mSDDco9hBKA/s1600/ex01-0403.PNG"
1 - Real Numbers and Their Operations,1.4 Fractions,61c3960b-2654-40eb-82af-9a7873fc7e80,LESSON,,reduce fractions to lowest terms (GCF),"Identify the greatest common factor (GCF) of the numerator and denominator and then divide both by that number.

http://4.bp.blogspot.com/-mCXVpsEh63Q/UJKgAiRad8I/AAAAAAAACh4/YDwSaWZliYg/s1600/ex01-0404.PNG"
1 - Real Numbers and Their Operations,1.4 Fractions,f1065767-949b-41f8-bdd3-31c38ce6310c,DEFINITION,,improper fraction,a fraction where the numerator is larger than the denominator
1 - Real Numbers and Their Operations,1.4 Fractions,032045a0-2b10-4d46-8029-6933aa4236d6,LESSON,,convert an improper fraction to a mixed number,"To convert an improper fraction to a mixed number, simply divide. The quotient is the whole number part and the remainder is the new numerator.

http://4.bp.blogspot.com/-iIBaEf-2gJ8/UJKgHZUSJ8I/AAAAAAAACiA/uVA8x23oJrA/s1600/ex01-0407b.PNG"
1 - Real Numbers and Their Operations,1.4 Fractions,3b271e80-68c1-424a-acb8-d7f67074a988,PROBLEM,Reduce.,78/546,http://1.bp.blogspot.com/-hRPuiVTWuQ0/UJKgNeU0qHI/AAAAAAAACiI/Bj6tXhCTkGM/s1600/ex01-0407.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,46a17254-4c90-4aa8-b30b-20e0132b0cc9,PROBLEM,Reduce.,105/300,http://2.bp.blogspot.com/-lpg-TKoQ5w4/UJKgRz7j5iI/AAAAAAAACiQ/jTdssbJ9ua4/s1600/ex01-0406.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,c8164f54-a2bf-4235-ba93-82250a95b546,PROBLEM,Reduce.,30/70,http://3.bp.blogspot.com/-K4ThBUwgLhg/UJKgWJywoJI/AAAAAAAACiY/5x6XxSYzcuM/s1600/ex01-0405.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,c22d0d62-664b-4e31-a782-a8735658945d,PROBLEM,Reduce.,135/30,http://2.bp.blogspot.com/-NfTZGEyuizg/UJKgaqqlHdI/AAAAAAAACig/RRbfazRqvdE/s1600/ex01-0408.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,c95892e6-937f-424b-9a20-003843a91e31,PROBLEM,Reduce.,600/30,http://2.bp.blogspot.com/-E1MBRTopqLk/UJKgeqEUoeI/AAAAAAAACio/2PYuLDxcrDY/s1600/ex01-0409.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,73279a26-1cfb-4046-8458-66e35c8242f2,PROBLEM,Reduce.,165/45,http://3.bp.blogspot.com/-1opEIEVc_T4/UJKgiUIg2lI/AAAAAAAACiw/zkcvyuz_XCc/s1600/ex01-0410.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,32ba87bb-42f6-43a8-b2bc-849ab32f71fa,LESSON,,multiply fractions,"To multiply fractions, you multiply the numerators and the denominators. NO COMMON DENOMINATOR is required.

When multiplying, look for factors to cancel before actually multiplying the numerators and denominators.  This will eliminate the need to reduce the end result.

http://3.bp.blogspot.com/-CTphtdTWTAU/UJKgx5aKO_I/AAAAAAAACi4/P1u-mtOYR6E/s1600/ex01-0411.PNG"
1 - Real Numbers and Their Operations,1.4 Fractions,b41c2464-705a-47ed-9837-81b03a96b9f7,LESSON,,divide fractions,"To divide fractions, you multiply the numerator by the reciprocal of the divisor.

http://2.bp.blogspot.com/-QbCJCdCd7yI/UJKg3FvRSdI/AAAAAAAACjA/NQaurSmTCJw/s1600/ex01-0412.PNG"
1 - Real Numbers and Their Operations,1.4 Fractions,55e59b3d-cee0-44a7-b2c6-5d3ea1e884bd,PROBLEM,Multiply or Divide.,2/3 * 5/7,http://4.bp.blogspot.com/-Ni8B2oveeZc/UJKhV17RDCI/AAAAAAAACjI/6pEEmb0jkg8/s1600/ex01-0413.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,65cfcc01-dc98-4ce5-8156-4661fa561508,PROBLEM,Multiply or Divide.,1/5 * 4/8,http://2.bp.blogspot.com/-4bpFNjTmt40/UJKhatr3cGI/AAAAAAAACjQ/hAWkd5vA1CI/s1600/ex01-0414.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,9c5fc488-54b7-48a0-9c58-46aa074d913f,PROBLEM,Multiply or Divide.,1/2 * 1/3,http://4.bp.blogspot.com/---ItrJY2xKg/UJKheFikoYI/AAAAAAAACjY/cUhOIv-OCi8/s1600/ex01-0415.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,ad7d8182-b256-4236-99e4-e3f3bb5a117d,PROBLEM,Multiply or Divide.,5/7 * 49/10,http://1.bp.blogspot.com/-PRR-2QmW9S0/UJKhiN02GwI/AAAAAAAACjg/eH6MXLsklKA/s1600/ex01-0416.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,a4dbf2d1-b077-40ed-992d-13b7342d0510,PROBLEM,Multiply or Divide.,2/3 * 9/12,http://2.bp.blogspot.com/-8wTvqAKT9gQ/UJKhlrKzqHI/AAAAAAAACjo/guMlm56h5pA/s1600/ex01-0417.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,7022a08e-ed35-416b-b776-966530a8621c,PROBLEM,Multiply or Divide.,6/14 * 21/12,http://4.bp.blogspot.com/-rMhrk42bVog/UJKhpwuYgXI/AAAAAAAACjw/GAj-q0MlnUU/s1600/ex01-0418.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,2922751e-f0f6-49f3-aa04-4387f087f29a,PROBLEM,Multiply or Divide.,1/2 ÷ 2/3,http://3.bp.blogspot.com/-4cTiJp1zMnQ/UJKhujLjWvI/AAAAAAAACj4/t6MZyYGtox4/s1600/ex01-0419.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,d05ddaf7-f20a-417c-85da-b05bbd03bbd4,PROBLEM,Multiply or Divide.,5/9 ÷ 1/3,http://2.bp.blogspot.com/-mFRVssRpiY4/UJKhyiS1auI/AAAAAAAACkA/CG_EV_lTm9Q/s1600/ex01-0420.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,9049194a-f5a4-4cde-a09e-93f9d692fbd4,PROBLEM,Multiply or Divide.,1/2 ÷ 2,http://4.bp.blogspot.com/-eeFG2GF4yuQ/UJKh3rIBSQI/AAAAAAAACkI/-Wy18r3kEek/s1600/ex01-0421.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,c4c9c844-730b-4328-abc4-019f6c5575c2,LESSON,,convert mixed numbers to improper fractions,"Convert mixed numbers to improper fractions before you multiply or divide. To do this, multiply the denominator with the whole number then add the numerator, this will be the new numerator.

http://4.bp.blogspot.com/-yy7azksJRvI/UJKiSm7CZ-I/AAAAAAAACkQ/kFAwnm-bzUM/s1600/ex01-0422.PNG"
1 - Real Numbers and Their Operations,1.4 Fractions,271e9fab-5540-4ac3-8d27-ad36c5f8f438,PROBLEM,Divide.,2 1/2 ÷ 5/3,http://2.bp.blogspot.com/-xH9TyYv6GMc/UJKiY7iDEDI/AAAAAAAACkY/dWVqFVKUenM/s1600/ex01-0423.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,cbacb663-9f4e-4808-a615-2862c6ed53fc,PROBLEM,Divide.,4 2/3 ÷ 3 1/2,http://1.bp.blogspot.com/-SL7faCm9zQg/UJKidkevTvI/AAAAAAAACkg/Aif072TUJ_4/s1600/ex01-0424.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,246327b1-a102-4f8a-83d2-47c50ae51089,PROBLEM,Divide.,5 ÷ 2 3/5,http://4.bp.blogspot.com/-67L9HpmPr3o/UJKijE1zAaI/AAAAAAAACko/yQl2_R7p6sk/s1600/ex01-0425.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,a14eeced-2f0e-46d4-bc22-a3ca83b550d2,LESSON,,adding and subtracting fractions,"You will have to find the equivalent fractions with a common denominator before you can add or subtract them.

Step 1: Determine the least common multiple of the denominators (LCD).
Step 2: Multiply numerator and denominator by what you need to obtain equivalent fractions with that LCD.
Step 3: Add the numerators and write the result over the common denominator.
Step 4: Reduce if necessary.

http://2.bp.blogspot.com/-nNh3r261e4Q/UJKjxvIz1jI/AAAAAAAAClg/b1_MNJPZxes/s1600/ex01-0432.PNG

If fractions have a common denominator, simply add or subtract the values found in the numerator and write the result over the common denominator and reduce if necessary.

http://2.bp.blogspot.com/-WCcHtH36IUE/UJKi7LNkO3I/AAAAAAAACk4/eHJ8Wgbosnw/s1600/ex01-0427.PNG

http://3.bp.blogspot.com/-a-etRQWRb8U/UJKjAfe8D_I/AAAAAAAAClA/8LRGNalZRH8/s1600/ex01-0428.PNG"
1 - Real Numbers and Their Operations,1.4 Fractions,d9ce4848-d308-4743-9b6a-68f014b30b42,PROBLEM,Add or subtract.,3/5 + 1/5,http://1.bp.blogspot.com/-hpElNRzknCY/UJKjQd-HFEI/AAAAAAAAClI/dGRyRW2b8Q0/s1600/ex01-0429.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,c6d6a69e-b5e3-406c-b04b-b582638c2a18,PROBLEM,Add or subtract.,17/20 - 5/20,http://2.bp.blogspot.com/-F-s-xpq632Y/UJKjV5QWltI/AAAAAAAAClQ/SKYBiFgg2Wk/s1600/ex01-0430.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,fc34408b-faca-4e7e-b83d-ec0f67ae7e6c,PROBLEM,Add or subtract.,5/7 - 2 1/7,http://1.bp.blogspot.com/-MvTQ3QxCdqs/UJKjaUJDCkI/AAAAAAAAClY/Zi4xb60HnT8/s1600/ex01-0431.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,cd3deda8-99d1-4378-a5c9-684e7b155155,PROBLEM,Add or subtract.,1/5 + 2/3,http://3.bp.blogspot.com/-6oRrY2I9A0I/UJKj3SASO7I/AAAAAAAAClo/5uJdY7mABBM/s1600/ex01-0434a.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,5c16f0bf-f693-4f3d-b7a4-fa7caa7b50d9,PROBLEM,Add or subtract.,1/2 + 1/3,http://4.bp.blogspot.com/-6OBBvUb3Doo/UJKj8b83kdI/AAAAAAAAClw/zVvBEMTHvaQ/s1600/ex01-0433.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,987cfec2-b927-49ee-92ad-790c1d6fc585,PROBLEM,Add or subtract.,2/7 - 3/5,http://4.bp.blogspot.com/-wkdKp0V6cqE/UJKj_8y8KEI/AAAAAAAACl4/5pi0EwZ0zgA/s1600/ex01-0434.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,fc572bca-0537-4dc7-be5a-0def087ca8a2,PROBLEM,Add or subtract.,3/10 + 2/14,http://3.bp.blogspot.com/-LwsJv2KA7LQ/UJKkEH5IQtI/AAAAAAAACmA/8Hekl-JrGkU/s1600/ex01-0435.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,94a0759f-7ccb-42c5-ab5d-5c89e5b7f3aa,PROBLEM,Add or subtract.,2/30 + 5/21,http://2.bp.blogspot.com/--gRBIiuEYzw/UJKkI3Ge6wI/AAAAAAAACmI/ryfpM4K7ko0/s1600/ex01-0436.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,55f69e87-3209-4e04-a670-06e92f279b03,PROBLEM,Add or subtract.,3/18 - 1/24,http://2.bp.blogspot.com/-n_5h9rWSK6w/UJKkNYs5e_I/AAAAAAAACmQ/ZxfJvb3496w/s1600/ex01-0437.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,cad3af3d-398d-433f-8558-058e35d72249,PROBLEM,Division Word Problem,A board that is 5 1/4 feet long is cut into 7 pieces of equal length. What is the length of each piece?,http://3.bp.blogspot.com/-nM4OaNvAxGY/UJKkh9W16KI/AAAAAAAACmY/vqKqgehNHkY/s1600/ex01-0438.PNG
1 - Real Numbers and Their Operations,1.4 Fractions,3b2ac417-97bb-4d47-be38-629599d125e8,PROBLEM,Multiplication Word Problem,A muffin recipe calls for 1 2/3 cups of flour to make 4 muffins.  How many cups of flower does the recipe require if you wish to make 16 muffins?,http://4.bp.blogspot.com/-3Qxa8PTEZl0/UJKkpoCNklI/AAAAAAAACmg/ar2u_4llSVo/s1600/ex01-0439.PNG
1 - Real Numbers and Their Operations,1.5 Review of Decimals and Percents,89519b5f-1a3b-42a9-a7b0-34f47d4ae57a,DEFINITION,,percent,http://3.bp.blogspot.com/-r5MEmibC-ks/UJLYgs09-gI/AAAAAAAACnY/vWovW9Dzgd4/s1600/ex01-0501.PNG
1 - Real Numbers and Their Operations,1.5 Review of Decimals and Percents,ed000da1-42d9-4f27-87f1-5b5690dbda73,LESSON,,convert percentages to fractions,"Write the number over 100 and eliminate the percent symbol %, then reduce if necessary.

http://1.bp.blogspot.com/-t55dbFImVd0/UJLYrrQXo_I/AAAAAAAACng/OwUGDCRigUQ/s1600/ex01-0502.PNG

To find a decimal equivalent divide.

http://2.bp.blogspot.com/-8hMv3fjKBII/UJLY4Lgxz9I/AAAAAAAACno/wf5ncP5BoGg/s1600/ex01-0503.PNG"
1 - Real Numbers and Their Operations,1.5 Review of Decimals and Percents,2dd1432e-2790-4e07-a430-2b740116436d,LESSON,,convert percentages to decimals,"Moving the decimal over 2 places to the left.

http://3.bp.blogspot.com/-VFRZM1LbgTI/UJLY-7AeAnI/AAAAAAAACnw/wMnokxyGKcE/s1600/ex01-0504.PNG

This works because a percent is part of 100 and dividing by 100 simply moves the decimal two places.

http://3.bp.blogspot.com/-jPHqAniJo5o/UJLZMIC-mWI/AAAAAAAACn4/ZL9Xtmij6ek/s1600/ex01-0505a.PNG"
1 - Real Numbers and Their Operations,1.5 Review of Decimals and Percents,73fa0426-c14a-4c62-8c13-92948cd6d386,PROBLEM,Rewrite as a decimal.,89%,http://3.bp.blogspot.com/-NV5yhoyGlzQ/UJLZ16PcCuI/AAAAAAAACoA/0pNd6OAFzmQ/s1600/ex01-0506.PNG
1 - Real Numbers and Their Operations,1.5 Review of Decimals and Percents,c98a06da-f2fd-4af8-9c37-42dc09f5a638,PROBLEM,Rewrite as a decimal.,1 1/5%,http://3.bp.blogspot.com/-CSa70cVROy0/UJMhUhgO1II/AAAAAAAACo0/HytgaDjeWEQ/s1600/ex01-0509.PNG
1 - Real Numbers and Their Operations,1.5 Review of Decimals and Percents,b8c6aacc-1861-455e-bc55-9fcdf8d6b490,PROBLEM,Rewrite as a decimal.,50 3/4%,http://1.bp.blogspot.com/-5AHjxGfCSkU/UJMhZNni5MI/AAAAAAAACo8/mKRKmf_5gqA/s1600/ex01-0510.PNG
